world_rank,university_name,country,teaching,international,research,citations,income,total_score
251-275,University of HawaiÌ¢‰âÂ‰ã¢i at MÌãåÅnoa,United States of America,35.1,59.4,30.7,51.5,38.3,-
251-275,University of Iceland,Iceland,14.9,59.1,24.7,74.8,64,-
251-275,University of MÌÄå_nster,Germany,30.6,48.2,18.1,73,38.2,-
251-275,University of New Mexico,United States of America,29.6,32.2,23.4,73.1,44.5,-
251-275,University of Newcastle,Australia,26.5,70.6,29.9,57.5,75.6,-
251-275,University of Otago,New Zealand,27.1,81.5,27.7,57.6,31.9,-
251-275,University of Pavia,Italy,26.3,43.5,19.2,75.6,64.4,-
251-275,University of Salento,Italy,32.3,40.3,25.6,64.5,38.4,-
251-275,University of South Florida,United States of America,27.7,41,37.9,55.1,99.8,-
251-275,"University of the Andes, Colombia",Colombia,17.3,54.6,12.1,89.8,36.5,-
251-275,University of the Witwatersrand,South Africa,22.3,66.3,21.7,67.3,94.8,-
251-275,University of Trento,Italy,26.8,57.3,20.3,70.3,46,-
251-275,University of Turin,Italy,29.4,39.3,20.3,72.5,40.8,-
251-275,University of Waterloo,Canada,30.9,63.1,40.4,47,41.7,-
276-300,Chalmers University of Technology,Sweden,35.7,62.5,32.8,40.8,75.8,-
276-300,Colorado State University,United States of America,27.6,30.4,31.3,59.9,38.8,-
276-300,Indian Institute of Science,India,32.6,18.2,39.5,51.6,37.9,-
276-300,Lappeenranta University of Technology,Finland,25.2,59.1,25.5,59.9,73.8,-
276-300,Montpellier University,France,23.7,56.6,22.5,67.4,33.6,-
276-300,National Chiao Tung University,Taiwan,35,30.7,40.7,40.4,98.2,-
276-300,Norwegian University of Science and Technology,Norway,33.5,54.7,29.6,49.6,45,-
276-300,Panjab University,India,23.7,29.2,10.5,84.4,28.3,-
276-300,Plymouth University,United Kingdom,18.4,51.3,18.1,80.5,28.8,-
276-300,Queensland University of Technology,Australia,29.9,69.8,36,42.9,71.9,-
276-300,Shanghai Jiao Tong University,China,37.9,23.9,37.9,38.9,88.4,-
