world_rank,university_name,country,teaching,international,research,citations,income,total_score
301-350,King Abdulaziz University,Saudi Arabia,19.7,71,10.3,63.4,40.2,-
301-350,Kyushu University,Japan,44,21.7,28.8,30.7,73.1,-
301-350,LinkÌÄå¦ping University,Sweden,21.1,47.7,27,53.3,38,-
301-350,Medical University of Vienna,Austria,23.7,66.2,13.4,66,33.2,-
301-350,Murdoch University,Australia,19.4,83.3,18.9,49.6,44.2,-
301-350,National Cheng Kung University,Taiwan,33.1,22.9,40.3,30.4,99.9,-
301-350,National Sun Yat-Sen University,Taiwan,27.9,23.9,32.5,48.5,43.9,-
301-350,"National University of Ireland, Galway",Republic of Ireland,22.6,69.3,19.8,51.9,41.1,-
301-350,North Carolina State University,United States of America,34.8,29.2,28.8,47.6,35.7,-
301-350,Polytechnic University of Milan,Italy,27.2,38.1,23.8,47.7,68.1,-
301-350,Renmin University of China,China,36.1,45.8,12,59.6,44,-
301-350,Sapienza University of Rome,Italy,35.3,33.2,30.6,39.1,36,-
301-350,Sharif University of Technology,Iran,32.9,16.7,42.8,34.2,93,-
301-350,State University of New York Albany,United States of America,30.2,27.8,30,52.9,-,-
301-350,Sun Yat-sen University,China,33.1,24.2,17.8,52.2,43.5,-
301-350,UiT The Arctic University of Norway,Norway,21.7,61.8,19.4,56.4,29.1,-
301-350,University College Cork,Republic of Ireland,25.3,71.5,19.5,47.4,38.8,-
301-350,University of Canterbury,New Zealand,19.9,88,24,48.4,49.8,-
301-350,University of Crete,Greece,17.1,44.4,16.3,68.6,34.1,-
301-350,University of Eastern Finland,Finland,22.4,39.5,19.1,58.1,36.7,-
301-350,University of Fribourg,Switzerland,20.8,59.5,11,69.4,-,-
301-350,University of Graz,Austria,26.9,59.7,17.6,57.4,29.5,-
301-350,University of Guelph,Canada,24.4,39,31.3,48.2,48.1,-
301-350,University of Kentucky,United States of America,39.1,21.7,27.8,45.5,-,-
301-350,University of Manitoba,Canada,31.6,38.6,32.4,44.4,43.5,-
301-350,"University of Maryland, Baltimore County",United States of America,19.4,32.6,16.4,65.2,32.6,-
301-350,University of Padua,Italy,21,37,21.4,64.5,31.7,-
301-350,University of Pavia,Italy,25.6,34.4,18.3,56.3,60.6,-
301-350,University of Pisa,Italy,22.6,29.6,23.2,63.8,39.4,-
301-350,University of Portsmouth,United Kingdom,12.8,70.2,10.5,72.3,29.2,-
301-350,University of South Australia,Australia,28.4,81,25,34.1,83.7,-
301-350,University of Tampere,Finland,25.6,35,23.9,51.2,49.3,-
301-350,University of Tsukuba,Japan,39.9,30.7,26.2,45.3,33,-
301-350,University of Vermont,United States of America,28.5,19.9,20.6,58.6,-,-
301-350,University of Waikato,New Zealand,17.7,85.6,19.9,61.9,28.2,-
301-350,University of Wollongong,Australia,22.5,83.7,27.3,47.4,54,-
301-350,Vrije Universiteit Brussel,Belgium,26.7,48.4,26.8,53.8,37.5,-
301-350,Washington State University,United States of America,29.9,33.9,30.6,47.1,55.8,-
301-350,Wayne State University,United States of America,34.3,28.1,16.2,58.4,-,-
301-350,York University,Canada,20.9,50.7,30.1,50.5,41.9,-
301-350,Zhejiang University,China,40.3,20.1,34.5,32.6,89,-
351-400,Aalborg University,Denmark,21.7,67.2,24.9,41,39,-
351-400,"Binghamton University, State University of New York",United States of America,23.3,30.7,21.9,51.1,33.4,-
351-400,Charles Darwin University,Australia,17.2,44.3,15.3,53.3,32.5,-
